Date,Time,Open,High,Low,Close,Volume,Class - Next Close,Class - Price UP,Class Pips Change,Class 10 Pip change,Class 25 pip change
2017.01.17,8:15,1.06574,1.06599,1.06517,1.06537,2407,1.06516,FALSE,-2.1,ranging,ranging
2017.01.17,8:30,1.06536,1.06602,1.06507,1.06516,1916,1.06547,TRUE,3.1,ranging,ranging
2017.01.17,8:45,1.06516,1.06547,1.06467,1.06547,2094,1.06427,FALSE,-12,-10Pips,ranging
2017.01.17,9:00,1.06547,1.06583,1.06422,1.06427,4177,1.06457,TRUE,3,ranging,ranging
2017.01.17,9:15,1.06427,1.06464,1.06401,1.06457,2617,1.0644,FALSE,-1.7,ranging,ranging
2017.01.17,9:30,1.06456,1.06481,1.06419,1.0644,2814,1.06545,TRUE,10.5,+10Pips,ranging
2017.01.17,9:45,1.06441,1.06552,1.06418,1.06545,2901,1.06623,TRUE,7.8,ranging,ranging
2017.01.17,10:00,1.06544,1.06704,1.06542,1.06623,4842,1.06607,FALSE,-1.6,ranging,ranging
2017.01.17,10:15,1.06625,1.06715,1.06559,1.06607,4294,1.06595,FALSE,-1.2,ranging,ranging
2017.01.17,10:30,1.06613,1.06646,1.06569,1.06595,3169,1.06627,TRUE,3.2,ranging,ranging
2017.01.17,10:45,1.06596,1.06655,1.06584,1.06627,3046,1.06612,FALSE,-1.5,ranging,ranging
2017.01.17,11:00,1.06628,1.06662,1.06548,1.06612,3448,1.06744,TRUE,13.2,+10Pips,ranging
2017.01.17,11:15,1.06612,1.0675,1.06605,1.06744,4373,1.06739,FALSE,-0.5,ranging,ranging
2017.01.17,11:30,1.06747,1.06804,1.06728,1.06739,3595,1.06779,TRUE,4,ranging,ranging
2017.01.17,11:45,1.06739,1.06817,1.06725,1.06779,2903,1.06643,FALSE,-13.6,-10Pips,ranging
2017.01.17,12:00,1.06776,1.06784,1.06613,1.06643,4006,1.06597,FALSE,-4.6,ranging,ranging
2017.01.17,12:15,1.06641,1.06659,1.06573,1.06597,3365,1.06651,TRUE,5.4,ranging,ranging
2017.01.17,12:30,1.06598,1.06659,1.06582,1.06651,3336,1.06795,TRUE,14.4,+10Pips,ranging
2017.01.17,12:45,1.0665,1.06819,1.06642,1.06795,3829,1.06918,TRUE,12.3,+10Pips,ranging
2017.01.17,13:00,1.06796,1.06941,1.06794,1.06918,4996,1.06989,TRUE,7.1,ranging,ranging
2017.01.17,13:15,1.06919,1.07022,1.06913,1.06989,4876,1.07076,TRUE,8.7,ranging,ranging
2017.01.17,13:30,1.0699,1.07195,1.06989,1.07076,6993,1.07092,TRUE,1.6,ranging,ranging
2017.01.17,13:45,1.07077,1.07137,1.06995,1.07092,8046,1.0706,FALSE,-3.2,ranging,ranging
2017.01.17,14:00,1.07091,1.07124,1.06926,1.0706,7648,1.07034,FALSE,-2.6,ranging,ranging
2017.01.17,14:15,1.0706,1.07078,1.06878,1.07034,7095,1.06969,FALSE,-6.5,ranging,ranging
2017.01.17,14:30,1.07036,1.07079,1.0692,1.06969,6186,1.06833,FALSE,-13.6,-10Pips,ranging
2017.01.17,14:45,1.06968,1.07076,1.06832,1.06833,6680,1.06832,FALSE,-0.1,ranging,ranging
2017.01.17,15:00,1.06835,1.06918,1.06785,1.06832,5868,1.06747,FALSE,-8.5,ranging,ranging
2017.01.17,15:15,1.06831,1.06922,1.06727,1.06747,5793,1.06722,FALSE,-2.5,ranging,ranging
2017.01.17,15:30,1.06748,1.06844,1.06673,1.06722,6686,1.06915,TRUE,19.3,+10Pips,ranging
2017.01.17,15:45,1.06721,1.06934,1.06707,1.06915,7725,1.07007,TRUE,9.2,ranging,ranging
2017.01.17,16:00,1.06917,1.07014,1.06896,1.07007,7248,1.07062,TRUE,5.5,ranging,ranging
2017.01.17,16:15,1.07008,1.07074,1.06952,1.07062,5571,1.06942,FALSE,-12,-10Pips,ranging
2017.01.17,16:30,1.07062,1.07094,1.0692,1.06942,5886,1.07148,TRUE,20.6,+10Pips,ranging
2017.01.17,16:45,1.06943,1.07166,1.0693,1.07148,6600,1.0702,FALSE,-12.8,-10Pips,ranging
2017.01.17,17:00,1.07149,1.07161,1.07008,1.0702,6656,1.07001,FALSE,-1.9,ranging,ranging
2017.01.17,17:15,1.07018,1.07058,1.06937,1.07001,5124,1.06997,FALSE,-0.4,ranging,ranging
2017.01.17,17:30,1.07,1.07013,1.06931,1.06997,4317,1.06943,FALSE,-5.4,ranging,ranging
2017.01.17,17:45,1.06997,1.07052,1.06906,1.06943,4529,1.07032,TRUE,8.9,ranging,ranging
2017.01.17,18:00,1.06944,1.07044,1.06893,1.07032,4118,1.07018,FALSE,-1.4,ranging,ranging
2017.01.17,18:15,1.07029,1.07061,1.06975,1.07018,3536,1.07077,TRUE,5.9,ranging,ranging
2017.01.17,18:30,1.07019,1.07128,1.07015,1.07077,3144,1.06942,FALSE,-13.5,-10Pips,ranging
2017.01.17,18:45,1.07078,1.07095,1.06916,1.06942,2827,1.06957,TRUE,1.5,ranging,ranging
2017.01.17,19:00,1.06943,1.06993,1.06934,1.06957,2389,1.07035,TRUE,7.8,ranging,ranging
2017.01.17,19:15,1.06957,1.07044,1.06942,1.07035,2236,1.07037,TRUE,0.2,ranging,ranging
2017.01.17,19:30,1.07035,1.07069,1.07011,1.07037,1932,1.06989,FALSE,-4.8,ranging,ranging
2017.01.17,19:45,1.07035,1.07054,1.06957,1.06989,2424,1.06983,FALSE,-0.6,ranging,ranging
2017.01.17,20:00,1.0699,1.07002,1.06959,1.06983,1391,1.06989,TRUE,0.6,ranging,ranging
