Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_10,Pos_Rel_To_MA_20,5_Period_Trend,10_Period_Trend,CandleStick_Pattern,Class_10_pips
2017.01.12,3:00,1.05817,1.0593,1.05758,1.05838,5218,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,4:00,1.05837,1.06098,1.05828,1.05987,6508,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,5:00,1.05992,1.06136,1.05938,1.06111,5395,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,6:00,1.0611,1.06125,1.05984,1.05996,3860,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,7:00,1.05997,1.06116,1.0595,1.06113,3246,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,8:00,1.06113,1.06387,1.06049,1.06378,5226,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,9:00,1.06377,1.06431,1.06275,1.06296,6759,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,10:00,1.06298,1.06647,1.06274,1.06433,9123,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,11:00,1.06433,1.06451,1.06276,1.06407,7212,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,12:00,1.06407,1.06427,1.06197,1.06382,5434,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,13:00,1.06381,1.06524,1.06372,1.06518,4543,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,14:00,1.06521,1.06848,1.06514,1.06747,7002,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,15:00,1.06746,1.06826,1.06434,1.06528,8675,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,16:00,1.06525,1.06591,1.06327,1.06587,8515,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,17:00,1.06588,1.06757,1.06374,1.06525,9781,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,18:00,1.06526,1.06678,1.06479,1.06655,7777,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,19:00,1.06656,1.06688,1.06456,1.06485,4620,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,20:00,1.06486,1.06519,1.06304,1.06417,5111,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,21:00,1.06416,1.06428,1.06216,1.06267,4712,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.12,22:00,1.06265,1.06291,1.06107,1.06231,4219,BELOW,BELOW,DOWNTREND,RANGING,NONE,-10pips
