Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.09,12:00,1.05608,1.05643,1.05580,1.05613,1269,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,12:00,1.05613,1.05613,1.05562,1.05576,1116,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,13:00,1.05579,1.05634,1.05567,1.05586,1290,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,13:00,1.05586,1.05637,1.05567,1.05570,1197,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,13:00,1.05570,1.05582,1.05531,1.05578,1063,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,13:00,1.05577,1.05655,1.05563,1.05612,1253,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,14:00,1.05614,1.05662,1.05596,1.05629,1098,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,14:00,1.05628,1.05656,1.05589,1.05590,1076,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,14:00,1.05589,1.05653,1.05584,1.05625,1185,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,14:00,1.05619,1.05627,1.05456,1.05579,2851,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,15:00,1.05584,1.05589,1.05474,1.05511,2082,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,15:00,1.05506,1.05587,1.05494,1.05562,1712,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,15:00,1.05562,1.05768,1.05433,1.05496,3719,BELOW,ABOVE,ABOVE,+10pips
2017.03.09,15:00,1.05495,1.05931,1.05425,1.05845,4076,ABOVE,ABOVE,ABOVE,+10pips
2017.03.09,16:00,1.05846,1.06154,1.05798,1.06117,3866,ABOVE,ABOVE,ABOVE,-10pips
2017.03.09,16:00,1.06118,1.06154,1.05933,1.05938,2989,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,16:00,1.05940,1.05962,1.05852,1.05925,3051,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,16:00,1.05923,1.05998,1.05871,1.05937,2295,ABOVE,ABOVE,ABOVE,-10pips
2017.03.09,17:00,1.05936,1.05941,1.05800,1.05819,2286,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,17:00,1.05819,1.05887,1.05764,1.05765,2195,ABOVE,ABOVE,ABOVE,+10pips
2017.03.09,17:00,1.05765,1.05897,1.05763,1.05870,2290,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,17:00,1.05869,1.05876,1.05788,1.05810,1845,ABOVE,ABOVE,ABOVE,-10pips
2017.03.09,18:00,1.05811,1.05825,1.05666,1.05703,2138,BELOW,ABOVE,ABOVE,RANGING
2017.03.09,18:00,1.05703,1.05784,1.05675,1.05761,2457,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,18:00,1.05762,1.05815,1.05748,1.05779,1461,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,18:00,1.05781,1.05861,1.05774,1.05853,1002,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,19:00,1.05852,1.05854,1.05801,1.05842,980,ABOVE,ABOVE,ABOVE,RANGING
